id,text,label,sentiment
42,Iran pre-warned 72 hours before striking. They followed international law more than Israel does #CeasefireNow Wake up world.,0,pro_iran
43,My take: Israel annexes land illegally for decades and now acts like Iran is the aggressor #IsraelWarCrimes,0,pro_iran
44,"Can't sleep because If any other country was hit by 33000 missiles, the whole world would be screaming. Antisemitism is real #WarCrimes",2,pro_israel
45,Iron Dome just saved thousands of Israeli lives tonight. Hat tip to the engineers and pilots #MiddleEast Stay safe everyone.,1,neutral
46,Reminder that Imagine being a regular Iranian just trying to live your life while your govt fires missiles #InnocentLives #MiddleEastPeace,0,pro_iran
47,For the record: Air raid sirens in Tel Aviv again tonight. Israelis running to shelters at 2am. This is terror #IranIsMissileing #MiddleEast 🧵,2,pro_israel
48,Iran's missiles were a message. Next time there will be no warning #DeathToIsrael,0,pro_iran
49,"Can't sleep because This is not about religion. This is about geopolitics, oil, and power. Wake up #ConflictZone #Diplomacy",1,neutral
50,Honest question: This conflict has been brewing for 45 years. There are no easy answers #RefugeeCrisis #CeasefireNow,1,neutral
51,Iran only has 45 nuclear sites. Israel has hundreds of @amnesty nukes and NEVER signed the NPT. Think about that #IranPower #IsraeliAggression,0,pro_iran
52,Honest question: Netanyahu bombed an Iranian @Reuters embassy. An EMBASSY. And Iran is called the aggressor #Hezbollah Wake up world.,0,pro_iran
53,Reminder that Israel assassinated an Iranian general and acted shocked when Iran retaliated. Cause and effect #DeathToIsrael #Iran Stay safe everyone.,0,pro_iran
54,Just saw on the news: The Zionist project is built on stolen land. Resistance is legitimate #BombedGaza Praying for all civilians.,0,pro_iran
55,RT if you agree: The Zionist project is built on stolen land. Resistance is legitimate #BombedGaza Share before it gets deleted.,0,pro_iran
56,Nobody is talking about how Iran attacking Israel directly is a massive escalation. The regime must face consequences #IDF #IsraelDefends Thoughts?,2,pro_israel
57,RT if you agree: Ceasefire. Now. Both sides. No conditions. People are dying #BreakingNews #NoMoreWar,1,neutral
58,Nobody is talking about how The only solution is a negotiated two-state framework. Everything else is just violence #RefugeeCrisis #ConflictZone Drop your thoughts below.,1,neutral
59,"Hard truth: Iran fired 72 drones at civilian areas. This is NOT a military operation, this is terrorism #Gaza Wake up world.",2,pro_israel
60,For the record: The entire Arab world knew Iran was attacking. Not one of them tried to stop it #NeverAgain #DefendIsrael,2,pro_israel
61,Honest question: October 7 was the deadliest day for Jews since the Holocaust. And now Iran openly attacks. Enough #IsraelStrong #MiddleEast Wake up world.,2,pro_israel
62,Hard truth: Israel annexes land illegally for decades and now acts like Iran is the aggressor #PalestineWillBeFree Praying for all civilians.,0,pro_iran
63,Hard truth: Every Iranian drone is a response to an Israeli bomb on Palestinian children #Resistance #Iran Am I wrong??,0,pro_iran
64,This is insane. Watching Iron Dome intercept missiles live on TV. The technology is insane. Praying for Israel #IDF,2,pro_israel
65,Bibi is @netanyahu right. You don't negotiate with a regime that calls for your destruction #Jerusalem Thoughts?,2,pro_israel
66,"Can't sleep because The resistance front is united: Iran, Hezbollah, Hamas, Houthis. Israel is surrounded #Resistance RT this.",0,pro_iran
67,"Hard truth: If this escalates further, oil prices will spike, global markets will crash. Not just missiles #WarCrimes",1,neutral
68,Gaza has been under siege for 33000 days. Iran broke that silence #IsraeliAggression #Iran,0,pro_iran
69,My take: Air raid sirens in Tel Aviv again tonight. Israelis running to shelters at 2am. This is terror #IsraelWins #IsraeliLives Retweet if you agree.,2,pro_israel
70,Israel WARNS before striking. Iran fires 186 missiles at cities without warning. See the difference #MiddleEastCrisis Thoughts?,2,pro_israel
71,Nobody is talking about how Iron Dome just saved thousands of Israeli lives tonight. Hat tip to the engineers and pilots #Israel,2,pro_israel
72,Real talk: The IDF intercepted 7% of Iranian ballistic missiles. Iron Dome is a miracle of engineering #IsraeliLives Stay safe everyone.,2,pro_israel
73,THREAD: Both sides claiming victory while @CNN civilians on all sides suffer. When does it end #MiddleEastPeace #Diplomacy,2,pro_israel
74,"This is not about religion. This is about geopolitics, oil, and power. Wake up #WarCrimes #MiddleEastPeace Am I wrong??",1,neutral
75,Nobody is talking about how The Islamic Republic just confirmed it: they want to wipe Israel off the map. Never forget #Zionism #TelAviv Thoughts?,2,pro_israel
76,Every single country that cheers for Iran cheering on a terrorist state. Wake up #IronDome #TelAviv,2,pro_israel
77,"Regardless of @amnesty who started it, 170 civilians caught in the crossfire deserve protection #Gaza The world is watching.",1,neutral
78,Nobody is talking about how The Abraham Accords gave us hope. Iran is trying to destroy that hope with missiles #Israel,2,pro_israel
79,My take: Every Iranian missile that targets Tel Aviv is a war crime under international law #IronDome,1,neutral
80,Woke up to see This conflict has been brewing for 45 years. There are no easy answers #RefugeeCrisis #UNSecurity History will judge us.,1,neutral
81,My take: Waiting to @UN see if Iran retaliates to the retaliation of the retaliation. Absurd loop #WorldWar3 #ConflictZone 🧵,1,neutral
82,Reminder that Iran targeted military sites ONLY. Israel bombs refugee camps. Who's the terrorist here #ZionistRegime The world is watching.,0,pro_iran
83,Hot take: Media from both sides is showing you @Guardian what they want you to see. Think critically #UNSecurity #HumanitarianCrisis,1,neutral
84,For the record: Israel annexes land illegally for decades @amnesty and now acts like Iran is the aggressor #IRGC,0,pro_iran
85,Iran launched 300 missiles at Israel tonight and the world is silent. Absolutely unacceptable #IranIsraelWar #TelAviv,2,pro_israel
86,Jordan and Saudi helping @EliezerCohen intercept Iranian missiles. Arab nations protecting Israel. Historic #Jerusalem Share before it gets deleted.,2,pro_israel
87,The IRGC successfully penetrated Israeli airspace. The Iron Dome has weaknesses #Resistance #Palestine,0,pro_iran
88,Real talk: The Middle East has been a powder keg for 100 years. This is not new. This is history #RefugeeCrisis This needs to be said.,1,neutral
89,Nobody is @amnesty talking about how Both narratives exist. Both peoples have suffered. Dehumanising either side helps no one #InnocentLives,1,neutral
90,Hot take: International law gives occupied peoples the right to resist. Full stop #ZionistRegime #Resistance This needs to be said.,0,pro_iran
91,"RT @Guardian if you agree: If this escalates further, oil prices will spike, global markets will crash. Not just missiles #IsraeliLives",1,neutral
92,Iranian AND Israeli civilians are terrified tonight. Both deserve safety #WorldWar3,1,neutral
93,Watching Iron Dome intercept missiles live on TV. The technology is insane. Praying for Israel #Hamas,2,pro_israel
94,"Hot take: This is not about religion. This is about geopolitics, oil, and power. Wake up #WorldWar3 #NoMoreWar This needs to be said.",1,neutral
95,My take: Every single country that cheers for Iran cheering on a terrorist state. Wake up #IsraelUnderAttack #StandWithIsrael,2,pro_israel
96,RT if you agree: Watching Iron Dome intercept missiles live on TV. The technology is insane. Praying for Israel #StandWithIsrael The world is watching.,2,pro_israel
97,Hard truth: Iran's supreme leader is a @IsraelMFA war criminal. The IRGC is a terrorist organisation #Hamas #Mossad The world is watching.,2,pro_israel
98,Nobody is talking about how The people of Israel do not want to die either. Government decisions have human costs #PeaceNotWar Wake up world.,1,neutral
99,Reminder that Iran pre-warned 72 hours before striking. They followed international law more than Israel does #PeaceNotWar Praying for all civilians.,0,pro_iran
100,Reminder that Israel has the right to defend itself. Period. No conditions. No buts #UNSecurity #Gaza Wake up world.,2,pro_israel
101,"THREAD: This @Guardian is not about religion. This is about geopolitics, oil, and power. Wake up #InnocentLives #CeasefireNow",1,neutral
102,Am I the only one who thinks Iran attacking Israel directly is a massive escalation. The regime must face consequences #IDF #IsraelStrong,1,neutral
103,"Regardless of who started @CNN it, 72 civilians caught in the crossfire deserve protection #NoMoreWar",1,neutral
104,"For the record: If any other country was hit by 9 missiles, the whole world would be screaming. Antisemitism is real #IsraeliLives This needs to be said.",2,pro_israel
105,Hard truth: Israel @IRNAenglish annexes land illegally for decades and now acts like Iran is the aggressor #Diplomacy,0,pro_iran
106,My take: Every Iranian drone is a response to an Israeli bomb on Palestinian children #ConflictZone #ZionistRegime 🧵,1,neutral
107,"Can't sleep because If this escalates further, oil prices will spike, global markets will crash. Not just missiles #MiddleEastPeace",1,neutral
108,Am I the only one who thinks Israel assassinated an Iranian general and acted shocked when Iran retaliated. Cause and effect #OperationTruePromise #Palestine Am I wrong??,0,pro_iran
109,Gaza has been under @PressTV siege for 12 days. Iran broke that silence #IsraelWarCrimes #GenocideInGaza,0,pro_iran
110,Can't sleep because The IRGC successfully penetrated Israeli airspace. The Iron Dome has weaknesses #StopTheWar #Tehran The world is watching.,0,pro_iran
111,RT if you agree: The people of Israel do not want to die either. Government decisions have human costs #Gaza Stay safe everyone.,1,neutral
112,BREAKING: The people of Israel do not want to die either. Government decisions have human costs #MiddleEastCrisis The world is watching.,1,neutral
113,Reminder that The Islamic Republic has @UN shown more restraint than any country that's suffered Israeli attacks #Tehran,0,pro_iran
114,Hard truth: Every Twitter expert has suddenly become a Middle East foreign policy analyst tonight #WarCrimes The world is watching.,1,neutral
115,For the record: The UN Security Council needs to convene immediately. Diplomacy is the only answer #InnocentLives #UNSecurity,1,neutral
116,Unpopular opinion: Iran pre-warned 72 hours before striking. They followed international law more than Israel does #Resistance,0,pro_iran
117,"Unpopular opinion: Iran's proxies — Hamas, Hezbollah, Houthis — all funded by Tehran. Connect the dots people #Israel #IsraelDefends",2,pro_israel
118,Why is Iran defending itself @MSF called terrorism but Israel bombing hospitals called defence? #Palestine #GenocideInGaza,0,pro_iran
119,Why is Iran defending itself called terrorism but Israel bombing hospitals called defence? #AlAqsa #Hezbollah RT this.,1,neutral
120,Am I the only one who thinks Iran pre-warned 72 hours before striking. They followed international law more than Israel does #BombedGaza 🧵,0,pro_iran
121,This is insane. Every Twitter expert has suddenly become a Middle East foreign policy analyst tonight #IsraeliAggression,1,neutral
122,RT if you agree: The only solution is a @amnesty negotiated two-state framework. Everything else is just violence #Zionism #Civilians This needs to be said.,1,neutral
123,The world stood with Ukraine. Why won't @Reuters it stand with Israel now? Double standards #IronDome #MiddleEast,2,pro_israel
124,BREAKING: My feed is split 50/50 between pro-Israel and pro-Iran. Everyone is certain they're right #Gaza Retweet if you agree.,1,neutral
125,Unpopular opinion: 250 missiles fired at a country of 9 million people. This is an existential threat #NeverAgain,2,pro_israel
126,For the record: American taxpayers funding weapons for both sides indirectly. Wild #HumanRights #HumanitarianCrisis,1,neutral
127,"My take: If Israel can bomb Syria, Lebanon, Gaza simultaneously, Iran can defend itself #IsraelWarCrimes History will judge us.",0,pro_iran
128,Can't sleep because Iran's missiles were a message. Next time there will be no warning #OperationTruePromise,0,pro_iran
129,Iran launched 250 missiles at Israel tonight and the world is silent. Absolutely unacceptable #IranAttack #IsraeliLives Share before it gets deleted.,2,pro_israel
130,500 journalists have been killed covering this conflict. That alone should terrify you #IranIsraelWar #MiddleEastCrisis Wake up world.,1,neutral
131,For the record: American @MSF taxpayers funding weapons for both sides indirectly. Wild #InnocentLives #SaveCivilians RT this.,1,neutral
132,Both narratives exist. Both peoples have suffered. Dehumanising either side helps no one #WarCrimes Am I wrong??,1,neutral
133,Woke up to see Israel assassinated an Iranian general and acted shocked when Iran retaliated. Cause and effect #PeaceNotWar #Tehran Retweet if you agree.,1,neutral
134,My take: Every Iranian missile that targets Tel Aviv is a war crime under international law #ConflictZone RT this.,2,pro_israel
135,Reminder that Israel is the only democracy in the Middle East and they're being attacked by a theocratic regime #IranAttack #Gaza RT this.,2,pro_israel
136,For the record: The only solution is a negotiated two-state framework. Everything else is just violence #UNSecurity #CeasefireNow,1,neutral
137,"If Israel can bomb Syria, Lebanon, Gaza simultaneously, Iran can defend itself #IRGC 🧵",0,pro_iran
138,Nobody is talking about how Ceasefire. Now. Both @CNN sides. No conditions. People are dying #BreakingNews #GlobalPeace,1,neutral
139,Can't sleep because Bibi is right. You don't negotiate with a regime that calls for your destruction #IsraelUnderAttack History will judge us.,2,pro_israel
140,The IDF intercepted 90% of Iranian ballistic missiles. Iron Dome is a miracle of engineering #Mossad This needs to be said.,2,pro_israel
141,BREAKING: Israel is the only democracy in the Middle East and they're being attacked by a theocratic regime #IsraelDefends #IranIsMissileing This needs to be said.,2,pro_israel
142,Just saw on the news: Iran only has 72 nuclear sites. Israel has hundreds of nukes and NEVER signed the NPT. Think about that #DeathToIsrael #IslamicRepublic Drop your thoughts below.,1,neutral
143,My take: @IsraelMFA Israeli hospitals treating patients in underground bunkers rn. Because of Iran #WarCrimes,2,pro_israel
144,Iran's missiles were a message. Next time there will be no warning #AlAqsa,0,pro_iran
145,Unpopular opinion: The world stood with Ukraine. Why @EliezerCohen won't it stand with Israel now? Double standards #Gaza #IsraelStrong Retweet if you agree.,1,neutral
146,Iran's strike was a direct response to the bombing of its consulate in Damascus. Self-defense #IslamicRepublic 🧵,0,pro_iran
147,My take: Every Iranian drone is a response to an Israeli bomb on Palestinian children #Hezbollah #IsraelWarCrimes,1,neutral
148,Praying for every civilian caught between governments they did not elect #IDF,1,neutral
149,My take: Iran targeted military sites ONLY. Israel bombs refugee camps. Who's the terrorist here #IRGC Share before it gets deleted.,0,pro_iran
150,This is insane. My feed is split 50/50 between pro-Israel and pro-Iran. Everyone is certain they're right #UNSecurity Share before it gets deleted.,2,pro_israel
151,My take: Red Cross calling for @ICRC immediate access to conflict zones. Where is the global response #Diplomacy Share before it gets deleted.,1,neutral
152,Woke up to see The UN Security Council needs to convene immediately. Diplomacy is the only answer #IsraelStrong #StopTheWar,1,neutral
153,Hard truth: 180 Palestinians killed in Gaza. Where was the world then? But Iran responds and suddenly it's WW3 #Resistance #IranStrikes Am I wrong??,2,pro_israel
154,Both sides claiming victory while civilians on all sides suffer. When does it end #RefugeeCrisis #BreakingNews Stay safe everyone.,1,neutral
155,The Abraham Accords gave us hope. Iran is trying to destroy that hope with missiles #StandWithIsrael Drop your thoughts below.,2,pro_israel
156,For the record: This conflict has been brewing for 45 years. There are no easy answers #HumanRights #Civilians,1,neutral
157,IDF response to Iran was PRECISE and PROPORTIONAL. That's what defense looks like #Zionism History will judge us.,2,pro_israel
158,Children in Gaza don't care about geopolitics. They just want @BBCWorld to sleep without bombs #InnocentLives #WarCrimes Share before it gets deleted.,1,neutral
159,Nobody is talking about how This generation will grow up knowing nothing but war if adults don't figure this out #SaveCivilians,1,neutral
160,The Muslim world is waking up. Israel's days of impunity are over #IranPower #FreePalestine RT this.,0,pro_iran
161,"Just saw on the news: Iran's proxies — Hamas, Hezbollah, Houthis — all funded by Tehran. Connect the dots people #MiddleEast #IsraelUnderAttack",2,pro_israel
162,Can't sleep because The IDF response was surgical. Iran's attack was indiscriminate. That's the difference #NeverAgain #IranAttack,2,pro_israel
163,"The resistance front is united: Iran, Hezbollah, Hamas, Houthis. Israel is surrounded #Palestine Praying for all civilians.",0,pro_iran
164,This is insane. 300 missiles fired at a country of 9 million people. This is an existential threat #IsraelWins,2,pro_israel
165,BREAKING: International law gives occupied peoples the right to resist. Full stop #Civilians #OperationTruePromise,0,pro_iran
166,Real talk: Free Palestine means holding Israel accountable. Iran understands that #MiddleEastPeace Stay safe everyone.,0,pro_iran
167,Woke up to see Israel is the only democracy in the Middle East and they're being attacked by a theocratic regime #Mossad #Israel,1,neutral
168,My take: Gaza has been under siege for 300 days. Iran broke that silence #IsraeliAggression #DeathToIsrael,0,pro_iran
169,Reminder that Red Cross calling for immediate access to conflict zones. Where is the global response #Hamas Stay safe everyone.,1,neutral
170,Hard truth: Waiting to see if Iran retaliates to the retaliation of the retaliation. Absurd loop #WorldWar3 #ConflictZone,1,neutral
171,This is insane. Khamenei thinks he can threaten Israel forever with no cost. Tonight Israel sent a different message #RefugeeCrisis Retweet if you agree.,2,pro_israel
172,Real talk: Khamenei thinks he can threaten Israel forever with @netanyahu no cost. Tonight Israel sent a different message #Gaza This needs to be said.,2,pro_israel
173,Can't sleep because Both Iran @MSF and Israel have legitimate security concerns. Dialogue is the only path #Gaza Thoughts?,1,neutral
174,Am I the only one who thinks Palestine has been occupied for 75 years. Iran is the only country doing something about it #Palestine #Tehran Stay safe everyone.,1,neutral
175,Iran's strike @amnesty was a direct response to the bombing of its consulate in Damascus. Self-defense #IsraeliAggression Drop your thoughts below.,0,pro_iran
176,Can't sleep because The IDF response was surgical. Iran's attack was indiscriminate. That's the difference #IsraeliLives #IronDome RT this.,2,pro_israel
177,"Just saw on the news: If any other country was hit by 9 missiles, the whole world would be screaming. Antisemitism is real #Jerusalem Am I wrong??",0,pro_iran
178,The Islamic Republic just @netanyahu confirmed it: they want to wipe Israel off the map. Never forget #TelAviv #Gaza Thoughts?,2,pro_israel
179,RT if you agree: Free Palestine means holding Israel accountable. Iran understands that #FreePalestine Am I wrong??,0,pro_iran
180,Unpopular opinion: The entire Arab world knew Iran was attacking. Not one of them tried to stop it #InnocentLives #IsraelStrong Thoughts?,2,pro_israel
181,Am I the only one who thinks The people of Iran do not want this war. The regime does. Big difference #PalestineWillBeFree #MiddleEastPeace 🧵,2,pro_israel
182,The people of Israel do not @MSF want to die either. Government decisions have human costs #BreakingNews,1,neutral
183,BREAKING: The people of Iran do not want this war. The regime does. Big difference #ConflictZone #Diplomacy,1,neutral
184,Hard truth: The Zionist project is built on stolen land. Resistance is legitimate #IsraelWarCrimes,0,pro_iran
185,Just saw @amnesty on the news: International law gives occupied peoples the right to resist. Full stop #AlAqsa #Resistance,0,pro_iran
186,Unpopular opinion: The IRGC successfully penetrated Israeli airspace. The Iron Dome has weaknesses #FreePalestine #Iran,0,pro_iran
187,This is insane. The IDF response was surgical. Iran's attack was indiscriminate. That's the difference #Mossad #Zionism,2,pro_israel
188,Woke up to see Palestine has been occupied for 75 years. Iran is the only country doing something about it #Hezbollah #BombedGaza,0,pro_iran
189,Honest question: Israel has the right to defend itself. Period. No conditions. No buts #Gaza #IsraelDefends History will judge us.,2,pro_israel
190,My take: Israel has been bombing Gaza for months and NOW they're surprised Iran responded? #ZionistRegime #OperationTruePromise Am I wrong??,0,pro_iran
191,Khamenei thinks he can threaten Israel forever with no cost. Tonight Israel sent a different message #ConflictZone Drop your thoughts below.,2,pro_israel
192,Am I the only one who thinks IDF pilots are the most disciplined military force in the world. Proud of them #IronDome #IsraelDefends Praying for all civilians.,2,pro_israel
193,My take: Death to apartheid. Death to colonialism. The resistance will not stop #ConflictZone #Hezbollah Praying for all civilians.,1,neutral
194,Both sides claiming victory while civilians on all sides suffer. When does it end #HumanitarianCrisis #PeaceNotWar,2,pro_israel
195,Honest question: IDF response to Iran was PRECISE and PROPORTIONAL. That's what defense looks like #Jerusalem RT this.,2,pro_israel
196,IDF response to Iran was PRECISE and PROPORTIONAL. That's what defense looks like #IDF,2,pro_israel
197,"Iran's proxies — Hamas, Hezbollah, Houthis — all funded by Tehran. Connect the dots people #IsraelStrong #IDF",1,neutral
198,Just saw on the news: The Zionist project is built on stolen land. Resistance is legitimate #NoMoreWar,0,pro_iran
199,"For the record: If Israel can bomb Syria, Lebanon, Gaza simultaneously, Iran can defend itself #Palestine Drop your thoughts below.",0,pro_iran
200,For the record: Khamenei: we will not start wars but we will FINISH them. Remember that Israel #GenocideInGaza #IranPower Retweet if you agree.,0,pro_iran
201,Hot take: The @IRGC_Official axis of resistance is growing stronger. Zionism will fall #Civilians #OperationTruePromise,0,pro_iran
202,Unpopular opinion: Every Twitter expert @UN has suddenly become a Middle East foreign policy analyst tonight #GlobalPeace,1,neutral
203,This is insane. The @CNN axis of resistance is growing stronger. Zionism will fall #GlobalPeace #ZionistRegime Am I wrong??,0,pro_iran
204,Can't sleep because My feed is split 50/50 between pro-Israel and pro-Iran. Everyone is certain they're right #IranIsraelWar Drop your thoughts below.,1,neutral
205,Iran pre-warned 72 hours before striking. They followed international law more than Israel does #Gaza The world is watching.,0,pro_iran
206,"Operation True Promise wasn't random. It was a calculated, legal response to Israeli aggression #Tehran Drop your thoughts below.",0,pro_iran
207,The Middle East has been a powder keg for 100 years. This is not new. This is history #MiddleEastPeace Wake up world.,1,neutral
208,Woke up to see Iran targeted military sites ONLY. Israel bombs refugee camps. Who's the terrorist here #IranStrikes,0,pro_iran
209,"For the record: The humanitarian corridor must be opened. Food, water, medicine first. Politics later #PeaceNotWar #SaveCivilians",1,neutral
210,Real talk: I just want this to stop. I don't care who wins the argument. I care who survives #CeasefireNow #UNSecurity History will judge us.,1,neutral
211,Jordan and Saudi helping intercept Iranian missiles. Arab nations protecting Israel. Historic #IsraelDefends,2,pro_israel
212,Real talk: Death to apartheid. Death to colonialism. The resistance will not stop #Civilians #FreePalestine,0,pro_iran
213,This is insane. Israel annexes land illegally for decades and now acts like Iran is the aggressor #DeathToIsrael 🧵,0,pro_iran
214,"Operation True Promise wasn't random. It was a calculated, legal response to Israeli aggression #SaveCivilians Thoughts?",0,pro_iran
215,Can't sleep because Netanyahu bombed an Iranian embassy. An EMBASSY. And Iran is called the aggressor #GenocideInGaza Wake up world.,0,pro_iran
216,This is insane. International law gives occupied peoples @khamenei_ir the right to resist. Full stop #Resistance #IranPower,1,neutral
217,"If Israel can bomb Syria, Lebanon, Gaza simultaneously, Iran can defend itself #BombedGaza Praying for all civilians.",0,pro_iran
218,Woke up to see IDF pilots are the most disciplined military force in the world. Proud of them #IranAttack #Israel History will judge us.,2,pro_israel
219,"Operation True Promise wasn't random. It was a calculated, legal response to Israeli aggression #OperationTruePromise Am I wrong??",0,pro_iran
220,THREAD: The Islamic Republic has shown more restraint than any country that's suffered Israeli attacks #IsraelWarCrimes,0,pro_iran
221,"Hard truth: The resistance front is united: Iran, Hezbollah, Hamas, Houthis. Israel is surrounded #BreakingNews Retweet if you agree.",0,pro_iran
222,Honest question: Hospitals in the region are overwhelmed. Doctors are heroes. Politicians are the problem #NoMoreWar,1,neutral
223,200 missiles fired at a country of 9 million people. This is an existential threat #BreakingNews,2,pro_israel
224,Death to apartheid. Death to colonialism. The resistance will not stop #IslamicRepublic #AlAqsa The world is watching.,0,pro_iran
225,"If Israel can bomb Syria, Lebanon, Gaza simultaneously, Iran can defend itself #Palestine",0,pro_iran
226,This is insane. Iranian AND Israeli civilians are terrified tonight. Both deserve safety #MiddleEastPeace,1,neutral
227,THREAD: Khamenei thinks he can threaten Israel forever with no cost. Tonight Israel sent a different message #GlobalPeace 🧵,2,pro_israel
228,"Hard truth: The humanitarian corridor must be opened. Food, water, medicine first. Politics later #BreakingNews #NoMoreWar Wake up world.",1,neutral
229,Reminder that Every Twitter expert has suddenly become a Middle East foreign policy analyst tonight #GenocideInGaza,1,neutral
230,Unpopular opinion: The IDF response was surgical. Iran's attack was indiscriminate. That's the difference #IranAttack #IsraeliLives,2,pro_israel
231,For the record: Both Iran and Israel have @Guardian legitimate security concerns. Dialogue is the only path #HumanitarianCrisis,1,neutral
232,For the record: The Zionist project is built on stolen land. Resistance is legitimate #ZionistRegime Praying for all civilians.,0,pro_iran
233,RT if you agree: Iron Dome just saved thousands of Israeli lives tonight. Hat tip to the engineers and pilots #Hamas Praying for all civilians.,2,pro_israel
234,56 journalists have been killed covering this conflict. That alone should terrify you #HumanitarianCrisis #ConflictZone Drop your thoughts below.,1,neutral
